DAY,NUMBER_OF_ALL_ANIMALS,NUMBER_OF_LIVING_ANIMALS,FIELD_WITH_GRASS,FREE_FIELDS,MOST_POPULAR_GENOTYPE,AVG_ANIMALS_ENERGY,AVG_LENGTH_OF_LIFE,AVG_NUMBER_OF_CHILDREN
198,2222,325,89,1244.0,SW     E     E     N     SW     SE,34.82,14.68,2.48
199,2235,328,104,1240.0,SW     E     E     N     SW     SE,34.32,14.66,2.51
200,2249,325,101,1241.0,SW     E     E     N     SW     SE,34.68,14.67,2.55
201,2261,314,103,1240.0,SW     E     E     N     SW     SE,35.68,14.78,2.62
202,2286,315,100,1241.0,SW     E     E     N     SW     SE,35.57,14.69,2.63
203,2286,312,100,1238.0,SW     E     E     N     SW     SE,35.88,14.79,2.65
204,2304,319,108,1237.0,SW     E     E     N     SW     SE,34.54,14.76,2.63
205,2320,321,107,1242.0,SW     E     E     N     SW     SE,34.27,14.77,2.66
206,2333,323,102,1240.0,SW     E     E     N     SW     SE,34.22,14.84,2.65
207,2346,315,100,1250.0,SW     E     E     N     SW     SE,35.1,14.91,2.7
208,2358,315,100,1245.0,SW     E     E     N     SW     SE,34.99,14.96,2.66
209,2377,321,105,1245.0,SW     E     E     N     SW     SE,33.96,14.93,2.66
210,2386,316,101,1248.0,SW     E     E     N     SW     SE,34.61,14.95,2.71
211,2404,320,99,1257.0,SW     E     E     N     SW     SE,34.19,14.93,2.72
212,2421,322,98,1259.0,SW     E     E     N     SW     SE,33.92,14.95,2.76
213,2433,322,97,1249.0,SW     E     E     N     SW     SE,33.85,14.96,2.75
214,2445,321,80,1236.0,SW     E     E     N     SW     SE,33.89,14.97,2.75
