DAY,NUMBER_OF_ALL_ANIMALS,NUMBER_OF_LIVING_ANIMALS,FIELD_WITH_GRASS,FREE_FIELDS,MOST_POPULAR_GENOTYPE,AVG_ANIMALS_ENERGY,AVG_LENGTH_OF_LIFE,AVG_NUMBER_OF_CHILDREN
1,35,35,62,1503.0,N     SW     NE     NW     E     W,35.54,0.0,0.0
1,35,35,62,1503.0,N     SW     NE     NW     E     W,35.54,0.0,0.0
2,36,36,75,1491.0,N     SW     NE     NW     E     W,34.58,0.0,0.06
3,37,37,89,1476.0,N     SW     NE     NW     E     W,33.16,0.0,0.11
4,38,37,117,1461.0,N     SW     NE     NW     E     W,33.14,0.0,0.11
5,38,38,117,1447.0,N     SW     NE     NW     E     W,31.29,0.0,0.16
6,39,38,145,1431.0,N     SW     NE     NW     E     W,30.76,0.0,0.16
7,39,39,145,1418.0,N     SW     NE     NW     E     W,29.46,0.0,0.21
8,40,40,152,1410.0,N     SW     NE     NW     E     W,31.35,0.0,0.25
9,40,40,163,1398.0,N     SW     NE     NW     E     W,32.15,0.0,0.25
10,40,40,171,1386.0,N     SW     NE     NW     E     W,32.95,0.0,0.25
11,40,40,186,1374.0,N     SW     NE     NW     E     W,33.3,0.0,0.25
12,41,41,195,1366.0,N     SW     NE     NW     E     W,34.15,0.0,0.29
13,41,41,203,1356.0,N     SW     NE     NW     E     W,36.22,0.0,0.29
14,41,41,211,1348.0,N     SW     NE     NW     E     W,38.29,0.0,0.29
15,41,41,223,1336.0,N     SW     NE     NW     E     W,38.61,0.0,0.29
16,41,39,242,1329.0,N     SW     NE     NW     E     W,42.36,0.73,0.21
17,41,39,242,1319.0,N     SW     NE     NW     E     W,43.67,0.73,0.21
18,41,39,247,1308.0,N     SW     NE     NW     E     W,44.51,0.73,0.21
19,43,41,262,1301.0,N     SW     NE     NW     E     W,44.02,0.7,0.29
20,43,41,271,1288.0,N     SW     NE     NW     E     W,45.66,0.7,0.29
21,44,42,277,1283.0,N     SW     NE     NW     E     W,47.45,0.68,0.33
22,44,42,287,1271.0,N     SW     NE     NW     E     W,48.6,0.68,0.33
23,44,41,298,1263.0,N     SW     NE     NW     E     W,50.54,1.14,0.34
24,44,40,306,1254.0,N     SW     NE     NW     E     W,53.95,1.66,0.28
25,44,40,320,1248.0,N     SW     NE     NW     E     W,57.0,1.66,0.28
