DAY,NUMBER_OF_ALL_ANIMALS,NUMBER_OF_LIVING_ANIMALS,FIELD_WITH_GRASS,FREE_FIELDS,MOST_POPULAR_GENOTYPE,AVG_ANIMALS_ENERGY,AVG_LENGTH_OF_LIFE,AVG_NUMBER_OF_CHILDREN
-,-,-,-,-,-,-,-,-
1,35,35,62,1503.0,S     NE     W     NW     NE     E,35.54,0.0,0.0
2,35,35,77,1488.0,S     NE     W     NW     NE     E,34.54,0.0,0.0
3,35,35,104,1473.0,S     NE     W     NW     NE     E,33.54,0.0,0.0
4,35,35,99,1461.0,S     NE     W     NW     NE     E,34.09,0.0,0.0
5,35,35,110,1451.0,S     NE     W     NW     NE     E,35.66,0.0,0.0
6,35,35,124,1440.0,S     NE     W     NW     NE     E,36.71,0.0,0.0
7,35,35,136,1426.0,S     NE     W     NW     NE     E,36.23,0.0,0.0
8,36,35,150,1414.0,S     NE     W     NW     NE     E,36.77,0.0,0.0
9,38,36,162,1401.0,S     NE     W     NW     NE     E,35.28,0.0,0.06
10,42,38,174,1389.0,S     NE     W     NW     NE     E,33.89,0.0,0.16
11,44,42,186,1377.0,SE     SW     NE     NE     SE     E,31.05,0.0,0.33
12,44,44,197,1359.0,SE     SW     NE     NE     SE     E,29.91,0.0,0.41
13,45,45,226,1348.0,SE     SW     NE     NE     SE     E,29.87,0.0,0.44
14,45,45,222,1330.0,SE     SW     NE     NE     SE     E,29.27,0.0,0.44
15,46,45,248,1318.0,SE     SW     NE     NE     SE     E,29.87,0.0,0.44
16,47,43,245,1311.0,SE     SW     NE     NE     SE     E,31.95,0.96,0.37
17,49,44,272,1298.0,SE     SW     NE     NE     SE     E,31.48,0.92,0.41
18,51,46,267,1287.0,SE     SW     NE     NE     SE     E,30.33,0.88,0.48
19,52,48,291,1275.0,SE     SW     NE     NE     SE     E,29.98,0.87,0.54
20,52,49,285,1264.0,SE     SW     NE     NE     SE     E,30.59,0.87,0.57
